name	layer	type
SFRP1	transcriptomic	gene
TNFRSF12A	transcriptomic	gene
RPS3A	transcriptomic	gene
CEMIP	transcriptomic	gene
SLC6A18	transcriptomic	gene
SPCS2	transcriptomic	gene
EVA1A	transcriptomic	gene
SMG1	transcriptomic	gene
PIGA	transcriptomic	gene
MIR302B	transcriptomic	gene
ACKR1	transcriptomic	gene
TRPM3	transcriptomic	gene
ZNF573	transcriptomic	gene
UVRAG	transcriptomic	gene
TAS2R10	transcriptomic	gene
DPH6	transcriptomic	gene
PRKRA	transcriptomic	gene
MSRA	transcriptomic	gene
G6PC3	transcriptomic	gene
DPPA2	transcriptomic	gene
DDX17	transcriptomic	gene
KDM6B	transcriptomic	gene
KANK1	transcriptomic	gene
REV3L	transcriptomic	gene
FOXO3	transcriptomic	gene
TIMP1	transcriptomic	gene
LRP10	transcriptomic	gene
PLG	transcriptomic	gene
CPA3	transcriptomic	gene
MIR9-1	transcriptomic	gene
MDM4	transcriptomic	gene
FPR3	transcriptomic	gene
S100A9	transcriptomic	gene
ZNF711	transcriptomic	gene
OR4S2	transcriptomic	gene
CEP83	transcriptomic	gene
SUPT5H	transcriptomic	gene
INTS4	transcriptomic	gene
PCK1	transcriptomic	gene
OR9A2	transcriptomic	gene
SYNE2	transcriptomic	gene
FXYD1	transcriptomic	gene
BIRC3	transcriptomic	gene
CD3D	transcriptomic	gene
ATP10A	transcriptomic	gene
KCNS3	transcriptomic	gene
SIK1	transcriptomic	gene
PCDH15	transcriptomic	gene
HSPA1A	transcriptomic	gene
ZNF519	transcriptomic	gene
RNU5A-1	transcriptomic	gene
NDEL1	transcriptomic	gene
DUSP1	transcriptomic	gene
FBXO9	transcriptomic	gene
OAZ2	transcriptomic	gene
RPS6KA6	transcriptomic	gene
ADHFE1	transcriptomic	gene
ACO1	transcriptomic	gene
ATP8B4	transcriptomic	gene
ZFP36L1	transcriptomic	gene
MRC1	transcriptomic	gene
RPL18A	transcriptomic	gene
TTC21B	transcriptomic	gene
OMG	transcriptomic	gene
CCL2	transcriptomic	gene
VPS37B	transcriptomic	gene
SFPQ	transcriptomic	gene
NPY1R	transcriptomic	gene
TIMP3	transcriptomic	gene
HNF1B	transcriptomic	gene
RAB11B	transcriptomic	gene
KEAP1	transcriptomic	gene
CD2	transcriptomic	gene
RHOQ	transcriptomic	gene
FBLN1	transcriptomic	gene
OR51I1	transcriptomic	gene
PPP6R1	transcriptomic	gene
SLC25A6	transcriptomic	gene
GATAD2A	transcriptomic	gene
MCOLN1	transcriptomic	gene
PSMB6	transcriptomic	gene
RPS5	transcriptomic	gene
OSMR	transcriptomic	gene
BTG2	transcriptomic	gene
ELOB	transcriptomic	gene
SQSTM1	transcriptomic	gene
NOTCH2NLA	transcriptomic	gene
NAA38	transcriptomic	gene
TIMM8B	transcriptomic	gene
NDUFA11	transcriptomic	gene
GRB2	transcriptomic	gene
FOXK1	transcriptomic	gene
OST4	transcriptomic	gene
TIA1	transcriptomic	gene
SSR4	transcriptomic	gene
ADAMTSL3	transcriptomic	gene
RPS2	transcriptomic	gene
IFI16	transcriptomic	gene
PDE5A	transcriptomic	gene
PLXNB1	transcriptomic	gene
UBN1	transcriptomic	gene
PTBP1	transcriptomic	gene
ITGB8	transcriptomic	gene
CFH	transcriptomic	gene
CD151	transcriptomic	gene
MRPL41	transcriptomic	gene
ARRB2	transcriptomic	gene
SMG9	transcriptomic	gene
PAPPA	transcriptomic	gene
DEPDC1B	transcriptomic	gene
SMARCB1	transcriptomic	gene
MGAT4B	transcriptomic	gene
MGRN1	transcriptomic	gene
TRIM28	transcriptomic	gene
NR2F2	transcriptomic	gene
EIF3G	transcriptomic	gene
ASCC2	transcriptomic	gene
FMO3	transcriptomic	gene
MIF	transcriptomic	gene
TAPBP	transcriptomic	gene
GPR18	transcriptomic	gene
