gene_id	gene_symbol	tissue	score	source
ENSG00000116663.10	FBXO6	Liver	0.00019693747341556784	GTEx
ENSG00000116670.14	MAD2L2	Liver	0.0002512973202892386	GTEx
ENSG00000162490.6	DRAXIN	Liver	3.414717141641854e-07	GTEx
ENSG00000177674.15	AGTRAP	Liver	0.00013492981709910677	GTEx
ENSG00000215910.7	C1orf167	Liver	2.3028498511271798e-07	GTEx
ENSG00000177553.6	RP11-56N19.5	Liver	0.0	GTEx
ENSG00000177000.10	MTHFR	Liver	8.441514249255635e-05	GTEx
ENSG00000011021.21	CLCN6	Liver	0.00014305401956614207	GTEx
ENSG00000242349.5	NPPA-AS1	Liver	2.278179498085921e-05	GTEx
ENSG00000175206.10	NPPA	Liver	2.320714589536367e-05	GTEx
ENSG00000120937.8	NPPB	Liver	1.9498085920884732e-06	GTEx
ENSG00000224904.1	RP5-934G17.6	Liver	0.0	GTEx
ENSG00000199347.1	RNU5E-1	Liver	0.0	GTEx
ENSG00000201801.1	RNU5E-4P	Liver	0.0	GTEx
ENSG00000116685.15	KIAA2013	Liver	0.0005774564015312633	GTEx
ENSG00000083444.16	PLOD1	Liver	0.0008208421948107189	GTEx
ENSG00000116688.16	MFN2	Liver	0.0006696724797958316	GTEx
ENSG00000270914.1	RP5-1077B9.5	Liver	0.0	GTEx
ENSG00000116691.10	MIIP	Liver	0.00018911101658868567	GTEx
ENSG00000202461.1	Y_RNA	Liver	0.0	GTEx
ENSG00000276869.1	MIR6729	Liver	0.0	GTEx
ENSG00000243539.3	RN7SL649P	Liver	0.0	GTEx
ENSG00000120949.14	TNFRSF8	Liver	1.0689919183326243e-06	GTEx
ENSG00000201135.1	RNU6-777P	Liver	0.0	GTEx
ENSG00000227875.2	RPL23AP89	Liver	0.0	GTEx
ENSG00000283789.1	MIR7846	Liver	0.0	GTEx
ENSG00000028137.18	TNFRSF1B	Liver	0.00036401531263292213	GTEx
ENSG00000263676.1	MIR4632	Liver	0.0	GTEx
ENSG00000225196.2	RPL10P17	Liver	0.0	GTEx
ENSG00000252969.1	SNORA70	Liver	0.0	GTEx
ENSG00000048707.13	VPS13D	Liver	7.038706933219907e-05	GTEx
ENSG00000239149.1	SNORA59A	Liver	1.1682688217779668e-05	GTEx
