id	kind	layer	name
P61244	Gene	transcriptomic	P61244
Q14318	Gene	transcriptomic	Q14318
Q13158	Gene	transcriptomic	Q13158
Q9Y6K9	Gene	transcriptomic	Q9Y6K9
Q8WXG6	Gene	transcriptomic	Q8WXG6
P23458	Gene	transcriptomic	P23458
Q9UKL3	Gene	transcriptomic	Q9UKL3
P51812	Gene	transcriptomic	P51812
Q15418	Gene	transcriptomic	Q15418
P24844	Gene	transcriptomic	P24844
O43293	Gene	transcriptomic	O43293
Q02750	Gene	transcriptomic	Q02750
P63261	Gene	transcriptomic	P63261
P04150	Gene	transcriptomic	P04150
Q96A00	Gene	transcriptomic	Q96A00
O14974	Gene	transcriptomic	O14974
Q9UIK4	Gene	transcriptomic	Q9UIK4
P62136	Gene	transcriptomic	P62136
Q9Y490	Gene	transcriptomic	Q9Y490
P05556	Gene	transcriptomic	P05556
P26006	Gene	transcriptomic	P26006
Q8N726	Gene	transcriptomic	Q8N726
P42771	Gene	transcriptomic	P42771
Q9Y6R4	Gene	transcriptomic	Q9Y6R4
Q13233	Gene	transcriptomic	Q13233
P41221	Gene	transcriptomic	P41221
Q14676	Gene	transcriptomic	Q14676
Q9BRQ8	Gene	transcriptomic	Q9BRQ8
Q9NQW6	Gene	transcriptomic	Q9NQW6
P08183	Gene	transcriptomic	P08183
P62736	Gene	transcriptomic	P62736
Q99856	Gene	transcriptomic	Q99856
O14514	Gene	transcriptomic	O14514
P25054	Gene	transcriptomic	P25054
P35638	Gene	transcriptomic	P35638
P0DPQ6	Gene	transcriptomic	P0DPQ6
P27797	Gene	transcriptomic	P27797
Q15011	Gene	transcriptomic	Q15011
Q96EB6	Gene	transcriptomic	Q96EB6
Q15717	Gene	transcriptomic	Q15717
P17947	Gene	transcriptomic	P17947
P30291	Gene	transcriptomic	P30291
O75530	Gene	transcriptomic	O75530
Q14332	Gene	transcriptomic	Q14332
P16035	Gene	transcriptomic	P16035
P30305	Gene	transcriptomic	P30305
P20248	Gene	transcriptomic	P20248
P30304	Gene	transcriptomic	P30304
P09619	Gene	transcriptomic	P09619
P53350	Gene	transcriptomic	P53350
Q96AE4	Gene	transcriptomic	Q96AE4
P10827	Gene	transcriptomic	P10827
P14921	Gene	transcriptomic	P14921
P50613	Gene	transcriptomic	P50613
Q9H211	Gene	transcriptomic	Q9H211
Q99728	Gene	transcriptomic	Q99728
P45973	Gene	transcriptomic	P45973
Q9NW38	Gene	transcriptomic	Q9NW38
Q9NPD8	Gene	transcriptomic	Q9NPD8
Q9NVI1	Gene	transcriptomic	Q9NVI1
P29590	Gene	transcriptomic	P29590
P26358	Gene	transcriptomic	P26358
Q9BXW9	Gene	transcriptomic	Q9BXW9
P00533	Gene	transcriptomic	P00533
P29317	Gene	transcriptomic	P29317
P20800	Gene	transcriptomic	P20800
P30307	Gene	transcriptomic	P30307
P68104	Gene	transcriptomic	P68104
P42858	Gene	transcriptomic	P42858
P07203	Gene	transcriptomic	P07203
Q99445	Gene	transcriptomic	Q99445
Q00597	Gene	transcriptomic	Q00597
P14210	Gene	transcriptomic	P14210
Q8IY92	Gene	transcriptomic	Q8IY92
P25445	Gene	transcriptomic	P25445
P17677	Gene	transcriptomic	P17677
Q16236	Gene	transcriptomic	Q16236
Q06830	Gene	transcriptomic	Q06830
Q13162	Gene	transcriptomic	Q13162
P15559	Gene	transcriptomic	P15559
O60516	Gene	transcriptomic	O60516
Q13542	Gene	transcriptomic	Q13542
P30411	Gene	transcriptomic	P30411
Q99558	Gene	transcriptomic	Q99558
Q9BZR8	Gene	transcriptomic	Q9BZR8
P06730	Gene	transcriptomic	P06730
O75909	Gene	transcriptomic	O75909
O95999	Gene	transcriptomic	O95999
